iter	Passed	Remaining
1470	21703	7805
1471	21718	7790
1472	21733	7775
1473	21748	7760
1474	21763	7746
1475	21777	7731
1476	21793	7716
1477	21807	7702
1478	21821	7687
1479	21836	7672
1480	21850	7657
1481	21865	7642
1482	21880	7628
1483	21894	7613
1484	21910	7598
1485	21924	7583
1486	21938	7568
1487	21953	7553
1488	21966	7538
1489	21981	7523
1490	21995	7508
1491	22010	7494
1492	22025	7479
1493	22040	7464
1494	22055	7450
1495	22069	7435
1496	22084	7420
1497	22098	7405
1498	22114	7391
1499	22128	7376
1500	22142	7361
1501	22157	7346
1502	22173	7332
1503	22188	7317
1504	22203	7302
1505	22216	7287
1506	22230	7272
1507	22243	7257
1508	22257	7242
1509	22271	7227
1510	22286	7212
1511	22301	7197
1512	22315	7182
1513	22330	7168
1514	22344	7153
1515	22360	7138
1516	22375	7124
1517	22391	7109
1518	22406	7095
1519	22421	7080
1520	22435	7065
1521	22450	7050
1522	22464	7035
1523	22478	7020
1524	22492	7005
1525	22506	6991
1526	22521	6976
1527	22535	6961
1528	22549	6946
1529	22563	6931
1530	22578	6916
1531	22592	6901
1532	22607	6886
1533	22621	6872
1534	22636	6857
1535	22651	6842
1536	22665	6827
1537	22679	6812
1538	22693	6797
1539	22710	6783
1540	22724	6768
1541	22738	6753
1542	22753	6739
1543	22767	6724
1544	22782	6709
1545	22797	6694
1546	22812	6680
1547	22827	6665
1548	22842	6650
1549	22857	6635
1550	22871	6620
1551	22885	6606
1552	22900	6591
1553	22915	6576
1554	22929	6561
1555	22944	6547
1556	22958	6532
1557	22972	6517
1558	22986	6502
1559	23000	6487
1560	23015	6472
1561	23030	6457
1562	23044	6443
1563	23058	6428
1564	23073	6413
1565	23087	6398
1566	23102	6383
1567	23116	6368
1568	23130	6353
1569	23145	6339
1570	23161	6324
1571	23178	6310
1572	23194	6296
1573	23209	6281
1574	23224	6266
1575	23239	6252
1576	23255	6237
1577	23271	6223
1578	23285	6208
1579	23300	6193
1580	23316	6179
1581	23332	6165
1582	23347	6150
1583	23361	6135
1584	23376	6120
1585	23391	6105
1586	23407	6091
1587	23424	6077
1588	23439	6062
1589	23454	6048
1590	23469	6033
1591	23485	6019
1592	23500	6004
1593	23516	5989
1594	23531	5974
1595	23546	5960
1596	23561	5945
1597	23577	5931
1598	23593	5916
1599	23608	5902
1600	23622	5887
1601	23638	5872
1602	23654	5858
1603	23672	5844
1604	23686	5829
1605	23701	5814
1606	23715	5799
1607	23732	5785
1608	23748	5771
1609	23763	5756
1610	23777	5741
1611	23791	5726
1612	23806	5711
1613	23821	5697
1614	23836	5682
1615	23851	5667
1616	23868	5653
1617	23886	5639
1618	23903	5625
1619	23918	5610
1620	23932	5595
1621	23945	5580
1622	23960	5565
1623	23974	5550
1624	23988	5535
1625	24001	5520
1626	24016	5505
1627	24031	5491
1628	24045	5476
1629	24059	5461
